dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,P,PX050,Activity status,,,All,false,2 employees (SAL) 3 employed persons except employees (NSAL) 4 other employed (when time of SAL and NSAL is % of total time) 5 unemployed 6 retired 7 inactive 8 other inactive,
EU-SILC public microdata,P,PX200,Wellbeing module weight,,,2010,false,See Note 3.,
EU-SILC public microdata,P,PA010,Proportion of personal income kept separate from the common household budget,Ad-hoc module,Intra-household sharing of resources,2010,false,1 All my personal income 2 More than half of my personal income 3 About half of my personal income 4 Less than half of my personal income 5 None 6 The respondent has no personal income,
EU-SILC public microdata,P,PA020,Access to a bank account,Ad-hoc module,Intra-household sharing of resources,2010,false,1 yes 2 no,
EU-SILC public microdata,P,PA030,Decision-making on everyday shopping,Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner,
EU-SILC public microdata,P,PA040,Decision-making on important expenses for the child(ren),Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner,
EU-SILC public microdata,P,PA050,Decision-making on expensive purchases of consumer durables and furniture,Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner 4 Never arisen,
EU-SILC public microdata,P,PA060,Decision-making on borrowing money,Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner 4 Never arisen,
EU-SILC public microdata,P,PA070,Decision-making on use of savings,Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner 4 We do not have common savings 5 Never arisen,
EU-SILC public microdata,P,PA080,General decision-making,Ad-hoc module,Intra-household sharing of resources,2010,false,1 More me 2 Balance 3 More my partner,
EU-SILC public microdata,P,PA090,"Ability to decide about expenses for your own personal consumption, your leisure activities and hobbies",Ad-hoc module,Intra-household sharing of resources,2010,false,"1 Yes, always or almost always 2 Yes, sometimes 3 Never or almost never",
EU-SILC public microdata,P,PA100,Ability to decide about purchases to meet children's needs (including giving them pocket money),Ad-hoc module,Intra-household sharing of resources,2010,false,"1 Yes, always or almost always 2 Yes, sometimes 3 Never or almost never",
EU-SILC public microdata,P,PA110,Length of cohabitation of the partners,Ad-hoc module,Intra-household sharing of resources,2010,false,"Discrete values between 0-years and 82-years, where 82 years indicates 82-years and over.",
EU-SILC public microdata,P,PA120,Optional: Time spent commuting to and from work,Ad-hoc module,Intra-household sharing of resources,2010,false,"Discrete values between 0 hours and 99 hours per week, where 99 hours indicates 92 hours and over.",
EU-SILC public microdata,P,PA130,Optional: Time spent on leisure,Ad-hoc module,Intra-household sharing of resources,2010,false,"Discrete values between 0 hours and 99 hours per week, where 99 hours indicates 92 hours and over.",
EU-SILC public microdata,P,PA140,"Optional: Time spent on household work, childcare and care for other dependants",Ad-hoc module,Intra-household sharing of resources,2010,false,"Discrete values between 0 hours and 99 hours per week, where 99 hours indicates 92 hours and over.",
EU-SILC public microdata,P,PA150,Optional: Money spent per month for own use,Ad-hoc module,Intra-household sharing of resources,2010,false,See note 5.,
EU-SILC public microdata,P,PA160,Optional: Money spent per month on children by the interviewed person,Ad-hoc module,Intra-household sharing of resources,2010,false,See note 5.,
EU-SILC public microdata,P,PC170,Change of the dwelling,Ad-hoc module,Housing conditions,2012,false,1 yes 2 no,
EU-SILC public microdata,P,PC180,Main reason for the change of the dwelling,Ad-hoc module,Housing conditions,2012,false,1 Family related reasons 2 Employment related reasons 3 Education related reasons 4 Eviction 5 Landlord did not prolong contract 6 Desire to change tenure status 7 Dwelling related reasons 8 Neighbourhood related reasons 9 Financial reasons 10 Other reasons,
EU-SILC public microdata,P,PM005,Personal intergenerational cross-sectional weight,Ad-hoc module,Intergenerational transmission of poverty,2005,false,See Note 3.,
EU-SILC public microdata,P,PM010,Main family composition,Ad-hoc module,Intergenerational transmission of poverty,2005,false,1 Lived with both parents 2 Lived with single mother (single parent family) 3 Lived with single father (single parent family) 4 Lived with mother and mother's new partner / husband 5 Lived with father and father's new partner / husband 6 Lived in another private household / foster-home 7  Lived in a collective household or institution,
EU-SILC public microdata,P,PM020,Year of birth of father,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"Discrete values between 1925 and 1958, where 1925 includes those born before, and 1958 includes those born after.",
EU-SILC public microdata,P,PM030,Year of birth of mother,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"Discrete values between 1925 and 1958, where 1925 includes those born before, and 1958 includes those born after.",
EU-SILC public microdata,P,PM035,Number of siblings,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"""Siblings"" refers to brothers and sisters who lived in the same household as the interviewee during the reference period.  They can be biological, half-siblings or step-siblings.  The age of the siblings are not important but they should have lived in the same household.  Discrete values from 0 - 21.",
EU-SILC public microdata,P,PM040,Highest ISCED level of education attained by father,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"0 Less than primary education 1 Primary education 2 Lower secondary education 3 Upper secondary education 4 Post-secondary, non-tertiary, education 5 1st and 2nd stage of tertiary education",
EU-SILC public microdata,P,PM050,Highest ISCED level of education attained by mother,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"0 Less than primary education 1 Primary education 2 Lower secondary education 3 Upper secondary education 4 Post-secondary, non-tertiary, education 5 1st and 2nd stage of tertiary education",
EU-SILC public microdata,P,PM060,Main activity status of father,Ad-hoc module,Intergenerational transmission of poverty,2005,false,1 Employee 2 Self-employed 3 Unpaid family worker 4 Unemployed 5 Retired 6 Full-time housework 7 Other,
EU-SILC public microdata,P,PM070,Main occupation of father,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"1 Armed Forces 11 Legislators, senior officials and managers 12 Corporate managers 13 Managers of small enterprises 21 Physical, mathematical and engineering professionals 22 Life science and health professionals 23 Teaching professionals 24 other professionals 31 Physical and engineering science associate professionals 32 Life science and helath associate professionals 33 Teaching associate professionals 34 Other associate professionals 41 Office clerks 42 Customer services clerks 51 Personal and protective services workers 52 Models, salespersons and demonstrators 61 Skilled agricultural and fishery workers 71 Extraction and building trades workers 72 Metal, machinery and related trades workers 73 Precision, handicraft, craft printing and related trades workers 74 Other craft and related trades workers 81 Stationary-plant and related operators 82 Machine operators and assemblers 83 Drivers and mobile plant operators 91 Sales and services elementary occupations 92 Agricultural, fishery and related labourers 93 Labourers in mining, construction, manufacturing and transport",
EU-SILC public microdata,P,PM080,Main activity status of mother,Ad-hoc module,Intergenerational transmission of poverty,2005,false,1 Employee 2 Self-employed 3 Unpaid family worker 4 Unemployed 5 Retired 6 Full-time housework 7 Other,
EU-SILC public microdata,P,PM090,Main occupation of mother,Ad-hoc module,Intergenerational transmission of poverty,2005,false,"1 Armed Forces 11 Legislators, senior officials and managers 12 Corporate managers 13 Managers of small enterprises 21 Physical, mathematical and engineering professionals 22 Life science and health professionals 23 Teaching professionals 24 other professionals 31 Physical and engineering science associate professionals 32 Life science and helath associate professionals 33 Teaching associate professionals 34 Other associate professionals 41 Office clerks 42 Customer services clerks 51 Personal and protective services workers 52 Models, salespersons and demonstrators 61 Skilled agricultural and fishery workers 71 Extraction and building trades workers 72 Metal, machinery and related trades workers 73 Precision, handicraft, craft printing and related trades workers 74 Other craft and related trades workers 81 Stationary-plant and related operators 82 Machine operators and assemblers 83 Drivers and mobile plant operators 91 Sales and services elementary occupations 92 Agricultural, fishery and related labourers 93 Labourers in mining, construction, manufacturing and transport",
EU-SILC public microdata,P,PM100,Financial problems in household when young / teenager?,Ad-hoc module,Intergenerational transmission of poverty,2005,false,1 Most of the time 2 Often 3 Occasionally 4 Rarely 5 Never,
EU-SILC public microdata,P,PS005,Personal cross-sectional weight,Ad-hoc module,Social participation,2006,false,See Note 3.,
EU-SILC public microdata,P,PS010,Number of times going to the cinema,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 None 2 1-3 times 3 4-6 times 4 7-12 times 5 More than 12 times,
EU-SILC public microdata,P,PS020,"Number of times going to live performances (plays, concerts, operas, ballet and dance)",Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 None 2 1-3 times 3 4-6 times 4 7-12 times 5 More than 12 times,
EU-SILC public microdata,P,PS030,Number of visits to cultural sites,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 None 2 1-3 times 3 4-6 times 4 7-12 times 5 More than 12 times,
EU-SILC public microdata,P,PS040,Number of times attending sport events,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 None 2 1-3 times 3 4-6 times 4 7-12 times 5 More than 12 times,
EU-SILC public microdata,P,PS050,Frequency of getting together with relatives,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 Daily 2 Every week (not every day) 3 Several times a month (not weekly) 4 Once a month 5 At least onve a year (less than once a month) 6 Never,
EU-SILC public microdata,P,PS060,Frequency of getting together with friends,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 Daily 2 Every week (not every day) 3 Several times a month (not weekly) 4 Once a month 5 At least onve a year (less than once a month) 6 Never,
EU-SILC public microdata,P,PS070,Frequency of contact with relatives,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 Daily 2 Every week (not every day) 3 Several times a month (not weekly) 4 Once a month 5 At least onve a year (less than once a month) 6 Never,
EU-SILC public microdata,P,PS080,Frequency of contact with friends,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 Daily 2 Every week (not every day) 3 Several times a month (not weekly) 4 Once a month 5 At least onve a year (less than once a month) 6 Never,
EU-SILC public microdata,P,PS090,"Ability to ask any relative, friend or neighbour for help",Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PS100,Participation in informal voluntary activities,Ad-hoc module,Social participation,2006,false,In the last 12 months.  1 Daily 2 Every week (not every day) 3 Several times a month (not weekly) 4 Once a month 5 At least onve a year (less than once a month) 6 Never,
EU-SILC public microdata,P,PS110,Participation in activities of political parties or trade unions,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PS120,Participation in activities of professional organisations,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PS130,Participation in activities of churches or other religious organisations,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PS140,Participation in activities of churches or other religious organisations,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
EU-SILC public microdata,P,PS150,Participation in activities of charitable organisations,Ad-hoc module,Social participation,2006,false,1 Yes 2 No,
