dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,P,PT120,Highest level of education attained by the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 0 Father could neither read nor write in any language 1 Low level (pre-primary, primary, or lower secondary education) 2 Medium level (upper secondary, or post-secondary non-tertiary education) 3 High level (first or second stage of tertiary education)",
EU-SILC public microdata,P,PT130,Activity status of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 1 Employed 2 Self-employed (including family worker) 3 Unemployed 4 Retired or given up business 5 Fulfilling domestic tasks and care responsibilities 6 Other inactive person",
EU-SILC public microdata,P,PT140,Managerial position of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 1 Supervisory 2 Non-supervisory",
EU-SILC public microdata,P,PT150,Main occupation of the father,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""father"" is the person the interviewee considered to be his / her father when he / she was around 14 years old.  -1 Don't know 0 Armed forces 1 Manager 2 Professional 3 Technician or associated professional 4 Clerical support worker 5 Service or sales worker 6 Skilled agricultural, forestry or fishery worker 7 Craft or related trades worker 8 Plant and machinery operator / assembler 9 Elementary occupation",
EU-SILC public microdata,P,PT160,Activity status of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 1 Employed 2 Self-employed (including family worker) 3 Unemployed 4 Retired or given up business 5 Fulfilling domestic tasks and care responsibilities 6 Other inactive person",
EU-SILC public microdata,P,PT170,Managerial position of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 1 Supervisory 2 Non-supervisory",
EU-SILC public microdata,P,PT180,Main occupation of the mother,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,"Where ""mother"" is the person the interviewee considered to be his / her mother when he / she was around 14 years old.  -1 Don't know 0 Armed forces 1 Manager 2 Professional 3 Technician or associated professional 4 Clerical support worker 5 Service or sales worker 6 Skilled agricultural, forestry or fishery worker 7 Craft or related trades worker 8 Plant and machinery operator / assembler 9 Elementary occupation",
EU-SILC public microdata,P,PT190,Financial situation of the household,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.  -1 Don't know 1 Very bad 2 Bad 3 Moderately bad 4 Moderately good 5 Good 6 Very good,
EU-SILC public microdata,P,PT200,Ability to make ends meet,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,,
EU-SILC public microdata,P,PT210,Tenancy status,Ad-hoc module,Intergenerational transmission of disadvantages,2011,false,Concerns the situation when the interviewee was around 14 years old.  -1 Don't know 1 Owner 2 Tenant 3 Accommodation was provided free,
